16.09.2019                                                      Dynamische Listenausgabe                                                              1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Stf;Pos.;EKG;Material P;Objektkurztext;     Menge;ME;SchGut;R;Werk;LOrt;ArbPlatz;ZTP;ÄndNr;Horiz;DMk;BeschArt;MArt
;4;481;W90;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;1,520;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;518;W90;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;5,466;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;537;W90;500424322;I-Naht 2 EN15085-3 CPC2 G199L;    0,180;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;545;W90;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;2,322;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;551;;500427485;Gegenlage EN15085-3 CPC2 G199L;    0,080;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;555;W90;500440395;HY-Naht 3,5 EN15085-3 CPC2 G199L;1,492;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;1217;W90;500434907;Kehlnaht a2 EN15085-3 CPC2 G2293NL;    0,376;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;1264;W90;500438099;HV-Naht 3 EN15085-3 CPC2 G2293NL;    0,376;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;1265;W90;500438150;HV-Naht 4 EN15085-3 CPC2 G2293NL;    0,990;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;1300;W90;500439421;HY-Naht 3 EN15085-3 CPC2 G2293NL;    0,476;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;3;2;B30;500540648;Türsäule kpl.CM1 7 links;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;4;1;W05;500555192;B Saeule li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;2;W05;500555191;Verstaerkung B-Saeule li.;1;ST;;;86;88;S4BS;SP;72883;1;PD;F;ROH
;4;3;W05;500555199;Auflageblech B Saeule;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;4;W05;500555193;Rippe 1;2;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;5;W05;500555195;Rippe 3;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;6;W05;500555210;Flanschplatte oben li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;7;W05;500555197;Rippe oben;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;8;W05;500555196;Rippe 4;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;9;W05;500555194;Rippe 2;3;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;10;W05;500555211;Flanschplatte unten li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;11;W09;500213250;Schweissm. M10 DIN929-A4;2;ST;X;;86;88;S4BS;SP;W-FIN001M;1;ND;F;ROH
;4;12;W09;500206951;Schweissm.M8 DIN929-A4;26;ST;X;;86;88;S4BS;SP;72884;1;ND;F;ROH
;4;13;W05;500548754;Gurtoese;6;ST;X;;86;88;S4BS;SP;72883;1;PD;F;ROH
;4;14;W05;500564140;Haltewinkel;1;ST;;;86;88;S4BS;SP;72883;1;PD;F;ROH
