Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
4;9;500559177;Befestigungswinkel kpl.;4;ST;86;15;SP;200;PD;E;HALB;S4BS;72132;B30;
5;1;500559178;Befestigungswinkel;1;ST;86;88;SP;1;PD;F;ROH;S4BS;72132;W05;
5;2;700027494;Schweissm.M8 DIN929-A2-70;1;ST;86;88;SP;1;ND;F;ROH;S4BS;72132;W09;X
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;1;ST;86;88;SP;1;PD;F;KBEI;S4BS;72132;W90;X
4;10;500559430;Auflage Auflaufplaettchen CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;72132;W05;
4;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,919;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,721;M;86;88;SP;1;PD;F;KBEI;S4BS;71973;W90;X
4;441;500424306;Kehlnaht z2 EN15085-3 CPC2 G199L;    0,240;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;480;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,240;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;517;500424303;HY-Naht 2 EN15085-3 CPC2 G199L;    0,240;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,468;M;86;88;SP;1;PD;F;KBEI;S4BS;72132;W90;X
4;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;2,118;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
4;538;500427730;I-Naht 3 EN15085-3 CPC2 G199L;    0,062;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
4;545;500426614;HY-Naht 2,5 EN15085-3 CPC2 G199L;1,278;M;86;88;SP;1;PD;F;KBEI;S4BS;72896;W90;X
3;2;500540463;Stufenblech Trennwand kpl.;1;ST;86;15;SP;200;PD;E;HALB;QA11;W-VIE001M;B30;
4;1;500541298;Stufenblech Fahrerstand;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;2;500328892;Schweissm.M6 DIN929-A4;16;ST;86;88;SP;1;ND;F;ROH;S4BS;72783;W09;X
